trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.38936076605077796}",25,0,-171.2700204608098,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.2890504973749961}",25,0,-75.9868382087079,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.20587037180094725}",25,0,-175.8135541667344,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.1418510649004877}",30,0,-112.43629915257925,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.09534946489910945}",30,21,0.29134253667495846,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.0629733560569965}",20,0,19.651029115987818,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.04109127820046499}",25,0,-36.12293209564919,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.026596993576865957}",20,0,-2.8829340174073232,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.01712403331572765}",25,0,-6.684870084701927,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.010986942630593188}",35,19,14.692348693549079,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.007033587154995136}",35,5,8.243014634223362,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.004496273160941144}",30,0,-7.271395261542774,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.0028716291557004947}",20,0,-73.27902136925519,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.0018329389424928122}",25,0,20.38510166483725,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0011695102650555178}",20,12,4.875170388431932,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.0007460288338366761}",25,0,33.07734423403521,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.00047581761883841445}",30,0,-5.454166682271785,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.000303447030028825}",25,0,-26.724607332141606,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.00019350764710124313}",20,0,15.919068804462315,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0001233945759863131}",30,0,-41.580675160444706,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,23.93914712624014,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-47.38708533534261,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,19.565873520661977,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.784051837860959,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,6,21.62634079676713,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,2,8.554667698479944,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,22.22749751425736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-6.757007653290283,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,27.190993545445558,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,37.55966565097206,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
