trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-133.89438600546632,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-45.97746640789565,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-95.3378739717087,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-153.4446981281463,"{0: 12, 1: 0, 2: 12, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-96.78845015942179,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-148.09468216484714,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-100.8254346348327,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-262.11178569859237,"{0: 13, 1: 4, 2: 9, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,6,-88.39281742427363,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,9,-122.6529099853015,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,14,-8.069631251458343,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,1,-135.82140627962536,"{0: 9, 1: 8, 2: 5, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-147.94161458075078,"{0: 23, 1: 4, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-102.03618162134188,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-55.82781989969631,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-158.40545548051614,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-137.0615735260936,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-133.1756757161604,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-188.4461777577089,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-94.81967521834774,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-101.29916484153281,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-154.72200737839782,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-127.23536126896606,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-60.96027026758992,"{0: 18, 1: 7, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,5,-212.9106437574105,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 5}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-125.04049132776454,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-101.45967904761514,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-99.67503289617285,"{0: 16, 1: 6, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-6.741828629603665,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-120.97742591627744,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
